tweet_id,tweet_url,tweet_date,tweet_language,reply_count,retweet_count,like_count,quote_count,view_count,user_id,user_username,user_display_name,user_profile_url,user_description,user_created_at,user_followers_count,user_friends_count,user_statuses_count,user_favourites_count,user_media_count,user_location,user_verified,user_blue_check_type,quoted_tweet_id,quoted_tweet_url,quoted_tweet_date,quoted_tweet_content,quoted_tweet_like_count,quoted_tweet_retweet_count,quoted_tweet_language,tweet
1856013181761564785,https://x.com/SwitzerUdr/status/1856013181761564785,2024-11-11 16:36:40,fr,0,0,0,0,28,127590629,SwitzerUdr,Switzer Z - 🇨🇭🇮🇱,https://x.com/SwitzerUdr,Franco/Suisse- Résident Switzerland-🇨🇭🇮🇱 Union des droites.,2010-03-29 17:51:20,11144,5426,133708,12535,5990,Suisse,False,,,,,,,,,"Michel Barnier et ses ministres sont confrontés à la colère de nombreux et divers secteurs.
Grève SNCF, aéroports, agriculteurs : le gouvernement face à une explosion des mouvements sociaux.
https://t.co/IuefZvwqq4"
1855946715708236030,https://x.com/havasagan/status/1855946715708236030,2024-11-11 12:12:33,fr,0,17,33,2,1258,1816915614859956224,havasagan,Hava Sagan,https://x.com/havasagan,Fille de @zoesagan ♟️,2024-07-26 19:17:05,3359,44,185,322,46,"Paris, France",False,,,,,,,,,"Michel Barnier et son gouvernement, dans un effort louable pour rendre la vie des médecins encore plus intéressante, ont décidé de publier un décret qui pourrait bien être le dernier clou dans le cercueil du secret médical. 

Imaginez le scénario : vous allez voir votre médecin pour une petite gêne, disons, quelque chose d'embarrassant. À la fin de la consultation, au lieu de recevoir simplement une ordonnance avec le nom d'un médicament, vous découvrez que votre médecin doit maintenant écrire en clair ""Hémorroïdes"" ou ""Infection urinaire récurrente"" sur le bout de papier. Et pourquoi, me demanderez-vous ? Pour que l'Assurance-maladie puisse vérifier si ce médicament est bien justifié. Parce que, vous savez, nous n'avons pas suffisamment de problèmes de confidentialité en 2024.

Barnier et ses acolytes semblent penser que notre système de santé a tellement de temps libre que les médecins peuvent désormais jouer au petit secrétaire, détaillant pourquoi ils prescrivent tel ou tel traitement. ""Ah, mais c'est pour le bien commun !"" diraient-ils. Oui, bien sûr, comme la fois où ils ont décidé que le Brexit serait une partie de plaisir.

Et pendant ce temps-là, les médecins, déjà accablés par une charge de travail qui ferait pleurer un robot, doivent maintenant s'assurer que chaque prescription est accompagnée d'une justification écrite, histoire d'éviter que l'administration ne les accuse de gaspillage des fonds publics. Bravo, vraiment. 

On pourrait presque croire que ce décret est une blague, une farce administrativo-bureaucratique pour voir jusqu'où on peut pousser les limites de l'absurde dans la gestion de la santé publique. Mais non, c'est bien réel. Le secret médical, ce rempart de la dignité et de la confidentialité des patients, est devenu un obstacle à la machine bien huilée de la paperasse administrative."
1855883402391503143,https://x.com/PHeffair/status/1855883402391503143,2024-11-11 08:00:58,fr,1,0,0,0,55,1650136259522691074,PHeffair,P. Heffair,https://x.com/PHeffair,"« La synergie du continuum de la dynamique du réarmement »   On peut, peut-être, arrêter cette diarrhée d’éléments de langage d’un vide abyssal non ?",2023-04-23 13:55:24,187,328,12667,673,2807,France,False,,,,,,,,,"@lemondefr Michel Barnier affaibli???
Il est issue d'une minorité ... son gouvernement n'est que le résultat du dénis démocratique Macron et de sa clique!

Barnier et ce gouvernement n'ont jamais été et ne seront jamais forts ... ils ne tiennent que grâce au RN ... la nouvelle béquille!"
1855880475119849720,https://x.com/leparisien_pol/status/1855880475119849720,2024-11-11 07:49:20,fr,11,1,6,1,2318,425188796,leparisien_pol,Le Parisien | politique,https://x.com/leparisien_pol,"Informations exclusives, coulisses, interviews... Suivez la vie politique française avec @le_Parisien",2011-11-30 17:39:44,52275,230,51252,2,18920,,False,,,,,,,,,"Plusieurs ministres et élus qui soutiennent le gouvernement plaident pour la suppression d’un jour férié, afin de faire rentrer des recettes fiscales. Mais Michel Barnier, lui, freine
https://t.co/1S3TzJUPd2"
1855880250304971090,https://x.com/le_Parisien/status/1855880250304971090,2024-11-11 07:48:26,fr,110,12,44,20,51661,38142665,le_Parisien,Le Parisien,https://x.com/le_Parisien,L’actualité qui vous concerne📱🗞️,2009-05-06 08:50:13,3398846,369,607840,716,164557,"Paris, France",False,Business,,,,,,,,"Plusieurs ministres et élus qui soutiennent le gouvernement plaident pour la suppression d’un jour férié, afin de faire rentrer des recettes fiscales. Mais Michel Barnier, lui, freine
https://t.co/xBmLpYXvW0"
1855878450747494469,https://x.com/leparisien_eco/status/1855878450747494469,2024-11-11 07:41:17,fr,0,0,1,0,169,2449906448,leparisien_eco,Le Parisien | économie,https://x.com/leparisien_eco,"Pouvoir d'achat, vie des entreprises, emploi... Toute l'actualité économique avec @le_Parisien",2014-04-17 15:03:42,21887,88,50665,29,21518,"Paris, France",False,Business,,,,,,,,"Plusieurs ministres et élus qui soutiennent le gouvernement plaident pour la suppression d’un jour férié, afin de faire rentrer des recettes fiscales. Mais Michel Barnier, lui, freine
https://t.co/Kl6lUcJols"
1855613510505386083,https://x.com/VerrDeLait/status/1855613510505386083,2024-11-10 14:08:31,fr,0,1,0,0,49,1502955322067009541,VerrDeLait,🇫🇷 Verre de Lait 🇪🇺🇺🇦,https://x.com/VerrDeLait,"Pour la France, l'Europe et la liberté. Je combats tous les extrêmes, les populistes et les tyrans, souvent avec un certain plaisir. Slava Ukraini!",2022-03-13 10:30:56,235,1153,1459,12272,15,,False,,,,,,,,,"@davidlisnard C'est facile de dénoncer avec un petit mot d'humour. La question: êtes-vous favorable à une limitation immédiate du droit de grève dans les services publics? Parce que je ne suis pas sûr que le gouvernement de Michel BARNIER ne capitule pas à nouveau, lui aussi."
1855579451280462142,https://x.com/Andre_Dedand/status/1855579451280462142,2024-11-10 11:53:10,fr,0,0,0,0,16,1517760650558197760,Andre_Dedand,André.04,https://x.com/Andre_Dedand,✝️ . 🙏 . 🤡,2022-04-23 07:02:13,1147,1266,118643,65877,1434,,False,,,,,,,,,"🇫🇷🧂 FLASH | Un majordome de Michel Barnier a été interpellé avec 51g de cocaïne sur lui hier soir. Mauvais timing, le gouvernement a présenté son plan de lutte contre le narcotrafic ce midi. 
https://t.co/9ZqCNHMvh7"
1855539645414838322,https://x.com/Contrepoints/status/1855539645414838322,2024-11-10 09:15:00,fr,0,0,2,0,342,123942210,Contrepoints,IREF-Contrepoints,https://x.com/Contrepoints,Le journal libéral de référence en France.,2010-03-17 18:27:54,25684,1790,96652,4967,31638,"Paris, France",False,,,,,,,,,"Alors qu’il peine à supprimer 2 000 postes de #fonctionnaires dans le budget 2025, le gouvernement de Michel #Barnier serait bien inspiré de se tourner vers son homologue argentin.

https://t.co/WBtv89QdPU"
1855506647508038094,https://x.com/SinedWarrior/status/1855506647508038094,2024-11-10 07:03:53,fr,1,2,11,0,195,1500777412598149123,SinedWarrior,🍓Sined Warrior🐭🍓,https://x.com/SinedWarrior,Euskal herria - baiona,2022-03-07 10:23:41,25440,4384,56122,108130,15842,,False,,,,,,,,,"2/n
En quelques mots le bilan est fait.
L'horreur de l'Allemagne Nazie avait fait le choix d'assumer totalement son programme dès 1933, et la France ?

Michel Barnier, Bruno Retailleau et tout le gouvernement n'ont pas compris que leurs noms"
